qol,police,streets,water_sewer,yrs_lived,housing_exp,age,male,own,race,hhi,zip,long,lat
2,3,2,9,29,0,1,1,1,B,1,27712,78.877,36.087
4,4,3,5,34,0,3,0,0,W,2,27705,78.92,36.022
4,9,4,5,15,0,2,1,1,W,9,27703,78.756,35.927
3,3,4,4,11,9,1,0,1,W,9,27713,78.919,35.933
4,2,2,4,4,0,1,1,1,B,3,27713,78.882,35.939
4,5,3,3,35,0,4,1,1,W,4,27705,78.99,35.976
4,4,3,4,3,0,1,1,1,W,3,27707,78.903,35.972
3,1,1,4,25,0,1,0,0,W,3,27712,78.951,36.078
3,4,4,4,25,9,5,0,1,W,9,27705,78.96,36.017
2,5,2,4,12,1,1,0,1,W,2,27712,78.956,36.069
4,4,3,4,20,0,2,1,1,B,4,27713,78.928,35.89
4,4,4,5,41,0,4,1,1,W,3,27705,78.99,35.982
2,4,1,4,22,1,2,0,1,B,9,27703,78.756,35.927
3,4,4,4,4,0,1,0,0,W,1,27707,78.993,35.939
4,5,4,4,6,0,3,1,1,O,3,27703,78.789,35.927
4,9,4,5,30,0,4,1,1,W,3,27705,78.969,35.985
2,4,2,4,20,0,3,1,0,W,3,27703,78.813,35.952
5,5,2,5,4,0,1,1,1,B,4,27703,78.794,35.97
5,3,4,4,7,0,1,1,0,W,3,27703,78.813,35.978
2,4,2,3,12,0,2,1,1,W,3,27703,78.82,35.931
4,4,4,2,23,0,3,0,0,B,3,27713,78.922,35.883
3,2,1,3,5,1,5,1,0,W,1,27703,78.782,35.936
5,4,4,4,5,0,1,1,1,W,4,27704,78.917,36.059
3,3,2,4,37,0,4,0,1,B,2,27704,78.895,36.072
4,2,3,4,25,9,2,1,1,O,3,27703,78.868,35.999
4,9,9,5,0,0,1,0,1,W,3,27713,78.931,35.93
3,3,3,3,21,0,2,1,1,O,2,27703,78.801,35.98
3,5,2,4,6,0,2,0,1,W,2,27703,78.846,35.992
3,3,2,3,5,0,1,0,1,W,3,27703,78.811,36.007
2,1,2,3,28,1,1,0,1,W,9,27707,78.949,35.96
4,4,4,4,8,0,1,0,1,W,9,27712,78.895,36.095
2,5,4,3,14,0,2,0,0,W,1,27703,78.845,35.939
4,3,4,4,5,0,1,1,1,W,4,27704,78.891,36.016
1,1,3,3,50,0,3,0,1,W,4,27712,78.96,36.103
2,2,1,4,52,0,3,1,1,O,9,27704,78.77,36.018
4,3,2,3,48,9,5,0,1,W,2,27704,78.802,36.052
4,4,4,5,43,0,4,1,1,W,2,27712,78.968,36.067
4,4,2,5,47,0,4,0,1,B,3,27705,78.915,36.011
5,3,3,9,25,0,4,1,0,W,2,27701,78.898,36.013
3,3,3,2,7,0,1,0,1,O,4,27703,78.758,35.926
3,1,1,1,26,1,1,1,0,B,1,27701,78.887,35.994
3,3,4,4,5,0,1,1,1,W,4,27703,78.804,35.96
4,4,2,4,7,0,1,0,1,W,4,27703,78.833,35.957
3,3,2,2,2,1,1,1,0,B,3,27703,78.874,35.993
4,1,2,4,49,1,4,0,1,B,2,27703,78.881,35.992
3,4,2,3,57,1,4,0,0,B,2,27701,78.888,35.97
1,2,2,4,4,1,4,1,0,B,1,27707,78.902,35.973
4,4,2,4,31,0,2,1,1,B,4,27713,78.924,35.894
5,2,2,2,39,1,3,1,0,B,2,27703,78.883,35.99
3,3,1,9,11,0,9,0,0,B,3,27703,78.812,35.993
1,2,2,4,77,0,5,1,1,B,9,27704,78.884,36.064
2,5,4,4,40,9,2,0,1,W,9,27572,78.85,36.183
2,4,3,4,13,1,4,1,0,O,2,27703,78.805,35.965
1,3,3,3,9,0,3,0,1,B,4,27712,78.938,36.129
4,1,4,1,10,0,1,0,0,W,3,27713,78.936,35.917
1,3,2,4,17,9,3,0,1,B,9,27503,78.861,36.145
1,4,1,5,36,1,3,0,1,B,1,27703,78.81,36
5,3,1,2,30,0,1,0,0,W,3,27705,78.916,36.015
3,3,9,5,11,0,1,1,0,W,2,27705,78.915,36.014
4,4,3,4,4,0,3,0,1,B,3,27712,78.868,36.099
3,3,4,9,41,1,2,1,0,B,1,27701,78.894,36.006
5,4,3,3,4,0,1,1,0,W,3,27705,78.932,36.016
3,2,4,4,44,1,3,0,0,B,1,27701,78.894,35.979
3,9,9,9,38,0,4,0,1,W,4,27707,78.973,35.966
3,4,1,4,24,1,4,0,0,W,3,27703,78.842,35.952
4,4,3,3,25,0,3,1,1,B,4,27713,78.93,35.882
3,4,4,5,70,0,5,1,0,B,2,27503,78.862,36.168
3,1,1,4,14,0,1,1,1,W,4,27707,78.905,35.985
4,4,4,4,75,0,5,1,1,B,1,27703,78.811,35.973
4,2,4,5,51,1,4,1,0,B,2,27707,78.907,35.969
3,3,5,4,49,1,3,1,0,B,1,27703,78.857,35.987
5,4,4,4,33,0,1,1,0,B,2,27705,78.993,35.975
2,3,3,2,3,0,2,1,1,W,3,27712,78.949,36.087
4,5,5,5,32,0,1,1,0,W,2,27704,78.896,36.028
2,2,2,3,6,0,3,1,1,O,9,27713,78.919,35.946
3,3,2,4,73,0,5,0,0,B,1,27712,78.912,36.096
4,2,1,3,5,1,1,0,1,B,2,27704,,
3,3,2,9,21,1,4,1,1,W,4,27707,78.992,35.935
4,5,5,5,52,0,3,1,0,W,3,27704,78.832,36.026
4,4,4,4,8,0,4,0,1,W,3,27704,78.834,36.052
4,4,3,9,30,0,5,1,1,W,3,27712,78.972,36.076
2,3,2,4,40,1,3,1,1,B,1,27707,78.921,35.966
3,3,2,3,1,9,1,1,0,B,2,27707,78.908,35.977
2,3,2,2,54,1,3,1,0,W,1,27704,78.848,36.026
4,3,3,3,56,0,4,0,0,B,1,27712,78.942,36.08
3,9,9,9,25,0,3,1,1,B,4,27705,78.983,36.012
5,4,4,4,4,0,1,0,1,W,3,27703,78.803,36.01
4,3,2,4,70,0,5,1,1,W,2,27712,78.905,36.117
3,9,3,3,72,0,5,0,1,W,4,27705,78.916,36.012
3,2,5,4,33,0,5,1,0,W,2,27712,78.925,36.093
3,3,1,2,10,0,1,1,1,W,3,27503,78.862,36.168
3,2,2,2,57,0,4,0,0,W,3,27503,78.859,36.151
3,9,9,9,51,1,3,0,0,W,9,27503,78.861,36.145
4,4,2,4,7,0,1,1,1,W,3,27713,78.922,35.932
5,4,2,9,18,0,3,0,0,B,1,27704,78.851,36.021
5,1,1,9,8,0,4,1,1,W,9,27712,78.932,36.087
5,3,3,5,71,0,5,1,1,B,4,27712,78.905,36.096
1,5,5,5,26,0,2,1,1,W,2,27704,78.855,36.009
5,5,4,5,12,0,1,0,0,W,3,27713,78.924,35.932
2,5,5,9,13,0,1,0,1,B,3,27707,78.931,35.982
4,5,1,4,13,0,4,1,0,O,3,27701,78.899,36.014
2,4,4,4,70,9,5,1,1,B,9,27572,78.914,36.232
4,3,4,4,12,0,2,0,0,B,3,27503,78.883,36.162
4,5,1,5,35,0,4,1,1,W,2,27712,78.921,36.108
3,3,1,4,11,0,1,0,1,W,3,27503,78.869,36.163
3,4,2,9,25,0,4,1,1,B,9,27503,78.809,36.12
4,4,3,3,4,0,2,0,1,W,9,27503,78.934,36.166
5,2,4,4,1,0,2,1,1,O,1,27703,78.833,35.995
4,9,1,9,20,0,2,1,1,W,3,27713,78.949,35.895
5,4,3,9,27,0,5,0,0,W,3,27713,78.939,35.931
1,9,4,9,42,1,3,1,0,W,1,27703,78.875,35.98
5,4,4,3,32,9,5,1,0,W,3,27712,78.954,36.09
3,4,4,5,65,9,9,0,1,W,2,27704,78.834,36.032
5,3,4,3,2,0,1,0,1,W,4,27707,78.892,35.968
2,2,1,1,41,0,3,1,1,W,3,27712,78.89,36.078
4,5,9,9,20,0,2,1,1,W,4,27704,78.892,36.03
4,9,2,4,25,0,2,0,1,O,3,27712,78.887,36.088
4,3,2,3,6,0,2,0,1,B,9,27707,78.95,35.948
4,9,3,4,50,1,5,0,0,B,1,27707,78.897,35.958
4,5,9,5,2,0,1,0,1,W,4,27703,78.824,35.967
3,4,1,2,60,0,5,1,1,B,3,27707,78.908,35.978
4,3,2,5,6,0,1,0,1,W,3,27704,78.808,36.037
4,4,3,3,10,0,1,0,1,W,4,27713,78.924,35.888
4,4,3,4,30,0,3,1,1,B,4,27503,78.888,36.144
2,4,2,4,3,0,1,1,0,W,3,27701,78.906,36.011
1,5,3,5,22,0,2,0,0,B,4,27713,78.888,35.941
3,3,2,4,13,1,1,1,1,O,2,27701,78.879,36.013
3,3,2,4,73,0,5,0,1,B,1,27701,78.92,35.995
4,3,4,3,33,0,3,0,1,W,4,27703,78.824,35.933
5,3,1,3,76,1,5,0,1,B,1,27703,78.826,35.964
5,4,2,4,41,0,4,0,1,W,2,27707,78.971,35.935
2,3,1,3,20,1,5,0,1,B,1,27707,78.914,35.954
3,4,1,9,50,0,3,1,1,W,2,27703,78.82,35.963
4,2,2,2,20,0,1,0,0,W,1,27707,78.934,35.981
4,4,9,4,6,0,2,1,1,W,4,27707,78.922,35.987
3,5,5,5,41,0,2,1,1,W,4,27712,78.854,36.126
4,5,4,5,33,1,3,1,1,W,3,27704,78.911,36.062
4,5,4,5,7,1,4,1,0,W,1,27707,78.931,35.983
1,4,4,5,43,0,2,0,1,W,4,27704,78.815,36.055
4,9,9,5,21,1,2,1,0,W,2,27705,78.922,36.016
3,3,4,4,3,1,1,0,1,W,2,27713,78.922,35.932
4,5,4,5,4,0,1,1,1,W,2,27703,78.795,35.974
4,4,2,4,5,1,1,1,0,W,2,27701,78.895,35.996
4,4,2,2,20,1,3,1,0,B,1,27701,78.899,36.012
5,5,2,5,30,1,4,1,0,W,1,27701,78.898,36.012
4,2,3,9,6,0,1,0,0,B,3,27701,78.896,36.016
1,2,2,5,68,0,5,1,1,W,3,27712,78.959,36.075
4,3,4,3,60,1,4,0,1,W,2,27712,78.967,36.077
3,4,5,5,60,0,4,0,1,W,9,27712,78.964,36.088
4,2,2,2,4,0,1,1,1,W,4,27707,78.925,35.987
2,5,9,3,42,0,5,0,1,W,1,27701,78.912,35.993
3,9,3,5,10,1,1,0,1,B,4,27704,78.831,36.03
3,9,4,4,33,1,5,0,0,B,9,27703,78.844,35.943
4,1,1,2,34,0,5,0,0,W,2,27712,78.935,36.106
4,3,4,3,8,1,2,1,1,W,4,27713,78.92,35.924
4,3,1,9,44,0,5,1,0,W,3,27713,78.905,35.901
4,3,4,5,39,9,3,1,1,B,9,27713,78.916,35.877
4,4,2,4,3,9,1,0,0,W,9,27701,78.907,36.006
2,3,4,4,70,0,5,1,1,W,3,27704,78.844,36.041
2,9,3,9,79,0,5,1,1,W,9,27712,78.948,36.086
4,3,3,4,32,0,4,0,1,W,4,27707,78.914,35.99
3,2,3,4,26,0,1,1,0,B,1,27705,78.954,36.007
4,5,3,2,47,1,3,0,0,B,1,27701,78.89,35.98
4,3,4,4,3,0,1,1,1,B,4,27703,78.818,35.95
4,2,1,4,64,0,4,0,1,W,2,27703,78.762,35.965
1,9,9,9,73,1,5,1,1,W,1,27704,78.804,36.024
5,4,2,1,29,0,4,1,0,W,2,27704,,
4,4,2,4,35,0,4,1,1,W,4,27705,78.99,35.995
4,4,2,3,1,0,4,0,0,B,2,27713,78.924,35.88
3,5,4,4,21,0,4,1,1,B,9,27703,78.803,35.995
5,5,1,4,36,0,3,0,0,W,3,27705,78.956,36.043
4,4,3,4,12,0,2,1,1,B,4,27707,78.948,35.949
2,3,1,2,12,0,1,1,1,B,3,27712,78.94,36.096
4,4,4,5,62,0,4,1,1,B,9,27712,78.874,36.085
3,4,3,4,4,1,3,1,0,B,1,27704,78.909,36.049
4,4,3,4,60,0,5,1,0,W,2,27712,78.973,36.073
3,3,2,3,47,0,4,1,0,B,3,27712,78.921,36.075
3,3,4,4,49,0,5,1,1,W,9,27712,78.855,36.13
4,3,1,3,7,0,1,1,1,B,4,27703,78.815,35.923
5,1,2,1,6,0,1,1,1,W,4,27701,78.909,36.005
3,3,2,3,3,0,1,1,0,B,3,27713,78.884,35.89
4,4,4,3,26,1,3,0,0,B,2,27703,78.844,35.937
1,5,4,5,2,0,1,0,0,W,2,27703,78.812,35.992
4,4,3,4,20,0,2,1,1,W,4,27703,78.795,35.97
3,5,1,5,40,0,4,1,0,W,1,27703,78.775,35.954
4,3,4,9,61,0,5,1,1,W,3,27701,78.878,35.996
4,4,4,4,1,0,1,1,0,W,4,27703,78.826,35.967
3,4,2,4,14,0,2,1,1,O,4,27713,78.911,35.932
2,4,2,4,4,1,2,1,0,W,2,27704,78.875,36.064
5,4,3,4,8,0,1,1,0,B,4,27701,78.905,36.011
4,4,3,4,4,0,1,1,1,W,4,27701,78.908,36.011
3,4,3,9,5,1,1,1,0,W,3,27705,78.93,36.022
4,4,3,4,25,1,2,0,0,W,3,27713,78.924,35.939
4,4,3,4,20,0,2,0,0,B,3,27712,78.868,36.101
4,2,2,3,32,1,3,1,1,B,4,27703,78.817,35.99
4,1,2,2,18,9,5,0,1,W,9,27713,78.932,35.921
4,4,5,5,50,1,5,0,1,B,1,27712,78.96,36.086
4,3,2,3,40,0,5,1,1,B,2,27707,78.963,35.951
4,1,3,5,5,0,2,0,0,B,3,27701,78.893,36.004
4,4,3,4,16,0,3,0,1,B,9,27713,78.907,35.927
4,3,1,9,39,0,3,1,1,B,3,27704,78.911,36.042
4,4,4,4,1,0,1,1,0,W,3,27713,78.888,35.943
4,9,3,4,2,0,1,1,1,W,3,27713,78.931,35.907
4,4,4,4,7,1,1,1,1,O,3,27713,78.936,35.932
3,4,4,4,52,0,4,1,0,B,2,27707,78.942,35.954
4,2,2,3,15,1,2,1,1,B,4,27713,78.927,35.906
3,3,1,3,48,1,3,0,1,W,2,27704,78.881,36.039
4,4,3,3,3,0,1,0,0,B,4,27705,78.918,36.014
1,5,4,4,40,1,3,0,1,B,1,27707,78.912,35.955
3,9,4,5,32,0,3,0,1,O,3,27712,78.947,36.086
4,1,1,4,6,0,9,0,0,W,1,27704,78.867,36.034
3,3,1,4,20,0,2,0,1,B,4,27701,78.891,36.009
4,3,4,3,0,0,1,1,0,W,3,27703,78.781,35.923
4,3,2,5,30,9,2,1,1,W,3,27703,78.812,35.953
3,9,3,2,17,0,2,1,1,W,4,27701,78.894,35.996
3,2,3,3,35,0,3,1,0,W,3,27701,78.9,36.013
2,9,9,9,65,1,5,1,0,W,1,27703,78.757,35.941
2,1,2,3,14,0,2,0,1,W,4,27701,78.89,36.006
5,4,2,4,9,0,4,1,1,B,2,27713,78.927,35.905
3,3,2,3,30,0,2,1,1,W,4,27503,78.955,36.16
4,4,4,4,16,0,2,1,0,B,4,27703,78.88,35.948
1,3,2,4,40,0,2,0,0,W,2,27703,78.764,35.979
4,5,5,5,14,0,2,1,1,W,9,27701,78.89,36.006
3,4,2,4,35,0,4,0,1,O,4,27713,78.94,35.921
1,9,2,9,70,0,5,0,1,B,4,27572,78.884,36.225
5,3,2,4,39,0,5,0,0,W,1,27701,78.913,35.994
3,5,5,5,6,9,4,1,0,O,9,27703,78.782,35.937
5,4,2,3,2,0,1,1,0,W,3,27713,78.942,35.909
2,4,4,4,7,0,2,1,1,W,3,27703,78.817,35.92
4,5,1,3,6,0,5,1,1,W,3,27703,78.784,35.933
5,2,2,2,53,0,3,0,1,B,2,27703,78.811,35.979
4,3,2,3,64,0,4,0,0,W,3,27703,78.813,35.978
4,5,3,5,5,0,1,0,0,W,3,27704,78.907,36.031
4,2,2,3,48,0,3,1,0,W,2,27503,78.906,36.156
3,4,4,9,64,0,4,0,1,W,2,27703,78.824,35.949
3,3,4,3,51,0,5,0,1,B,9,27713,78.909,35.93
5,4,1,4,16,0,2,1,1,W,4,27701,78.909,36.017
3,4,3,5,15,0,1,0,1,W,4,27703,78.827,35.994
2,3,2,2,39,1,3,1,1,B,9,27703,78.83,35.956
3,2,1,4,25,1,4,0,1,W,1,27705,78.975,36.044
4,9,4,4,10,1,2,0,1,B,4,27703,78.817,35.949
4,5,3,9,25,0,2,0,1,W,3,27701,78.896,36.008
4,3,2,3,10,1,1,1,1,B,9,27703,,
3,9,4,9,20,0,5,1,1,W,3,27503,78.919,36.142
2,3,2,3,48,0,3,0,1,B,3,27703,78.875,35.981
3,4,2,5,22,0,3,1,0,B,3,27703,78.794,35.972
3,4,3,3,5,0,2,1,1,W,3,27713,78.905,35.896
4,4,2,3,30,0,3,0,1,B,9,27703,78.81,35.993
4,5,4,4,20,0,3,1,1,W,4,27701,78.895,36.005
4,4,3,4,17,1,2,0,1,W,9,27703,78.831,35.96
3,3,3,4,30,1,2,1,0,B,3,27713,78.933,35.928
3,3,3,3,20,0,3,0,0,B,3,27704,78.856,36.05
5,4,3,9,13,0,1,0,1,W,4,27712,78.952,36.08
2,3,2,4,25,1,2,0,0,B,2,27703,78.844,35.936
3,3,1,9,35,0,3,0,1,B,9,27703,,
3,1,1,5,12,9,5,0,1,B,9,27703,78.806,35.984
2,4,1,2,33,1,1,0,1,B,2,27703,78.812,36.004
1,4,3,4,20,9,9,1,0,B,9,27704,78.797,36.026
3,4,4,4,58,0,5,1,1,B,9,27703,78.843,35.992
4,4,3,4,10,1,1,0,0,B,9,27705,78.953,36.004
2,3,1,1,22,0,3,0,0,O,2,27704,78.915,36.025
4,4,3,4,23,0,3,1,1,B,4,27703,78.807,35.997
4,3,4,4,54,0,3,1,0,B,2,27704,78.904,36.023
5,4,5,3,1,0,1,1,1,W,3,27713,78.911,35.952
5,2,2,3,14,0,1,1,1,B,4,27713,78.945,35.883
4,5,1,9,54,0,3,0,1,B,2,27703,78.811,35.972
4,3,1,2,11,0,2,1,1,W,4,27712,78.961,36.07
4,1,1,1,51,0,3,0,1,W,9,27705,78.963,36.041
5,4,2,3,5,0,1,1,0,W,3,27713,78.918,35.879
4,3,3,3,16,0,2,0,0,B,4,27713,78.888,35.942
4,4,4,2,5,1,9,0,0,W,9,27705,78.914,36.025
4,4,4,5,14,0,1,1,1,B,4,27704,78.825,36.022
3,9,4,5,39,0,3,1,1,W,3,27572,78.848,36.19
4,4,4,3,35,0,4,1,0,B,2,27705,78.919,36.044
5,2,2,3,30,0,5,0,0,W,3,27713,78.935,35.926
4,9,4,4,30,0,3,1,1,W,4,27703,78.819,35.974
5,4,2,4,30,0,5,1,1,O,1,27705,78.979,36.04
4,4,2,4,25,0,1,0,0,B,2,27707,78.931,35.978
5,4,2,4,35,0,4,0,1,B,4,27701,78.905,36.012
4,3,2,3,46,1,3,0,1,B,1,27704,78.798,36.052
5,4,2,4,25,1,5,1,1,B,2,27707,78.915,35.952
5,4,1,4,12,0,5,0,1,B,1,27707,79,35.944
4,1,1,3,5,1,1,0,1,W,4,27713,78.94,35.935
5,1,1,9,4,0,1,1,0,W,2,27705,78.963,35.978
3,5,4,3,71,0,5,1,1,B,3,27712,78.955,36.089
2,5,5,5,15,1,2,1,0,O,3,27705,78.926,36.062
4,3,3,5,10,0,1,1,1,W,4,27704,78.903,36.022
4,4,4,4,1,1,1,0,1,B,4,27704,78.797,36.026
4,5,4,4,0,1,1,0,1,W,4,27707,78.905,35.982
5,3,2,5,6,1,1,1,0,W,2,27705,78.986,36.032
3,9,3,4,62,0,4,0,1,B,2,27704,78.905,36.028
3,5,5,5,14,0,2,1,1,W,4,27712,78.905,36.101
4,5,5,5,36,0,5,1,0,B,3,27712,78.951,36.086
4,9,5,4,2,0,1,0,0,W,1,27703,78.816,35.987
4,4,4,3,6,0,1,1,0,W,3,27712,78.856,36.119
5,1,1,4,10,0,1,0,0,W,2,27712,78.952,36.096
4,4,4,4,26,0,5,0,1,W,2,27703,78.812,35.973
3,3,3,9,11,0,4,1,1,W,2,27703,78.819,35.955
4,3,4,3,71,9,5,0,9,W,3,27703,78.801,35.97
5,3,3,4,23,1,3,0,0,B,1,27704,,
3,3,1,3,33,1,2,0,0,B,1,27713,78.9,35.936
3,3,2,4,37,0,2,0,1,B,2,27703,78.837,35.983
3,9,1,9,49,9,3,0,1,B,3,27707,78.947,35.955
4,4,4,4,43,0,4,0,0,B,1,27704,78.895,36.02
1,9,1,4,33,0,1,0,0,O,3,27704,78.771,36.02
4,1,1,4,14,0,1,1,1,W,2,27705,78.926,36.032
2,4,5,5,53,9,3,1,1,B,3,27572,78.915,36.204
2,3,3,4,61,1,4,0,0,B,1,27701,78.88,35.996
4,5,3,4,35,0,4,1,1,O,4,27712,78.969,36.086
2,4,1,3,74,0,5,1,0,B,1,27704,78.872,36.029
3,5,5,5,50,0,5,1,1,W,2,27712,78.952,36.09
4,3,2,4,6,1,5,1,1,W,4,27713,78.925,35.888
2,3,1,9,43,1,5,1,0,B,1,27704,78.895,36.041
3,3,4,4,10,1,2,1,1,W,1,27712,78.947,36.079
4,1,2,9,40,9,5,1,9,B,1,27712,78.928,36.114
4,4,3,4,12,1,2,1,1,B,2,27704,78.871,36.062
3,2,4,4,52,1,3,0,1,B,2,27713,78.909,35.949
4,4,2,4,15,0,2,0,1,W,2,27704,78.892,36.022
5,9,9,9,15,0,2,1,1,W,9,27701,78.895,36.005
4,1,1,9,20,0,3,0,1,B,9,27713,78.93,35.883
4,2,1,3,10,1,2,0,1,W,2,27713,78.9,35.93
4,3,2,3,31,0,9,0,0,B,2,27713,78.916,35.893
4,4,3,4,20,0,2,1,1,W,4,27713,78.937,35.929
4,4,9,3,15,1,3,1,1,B,2,27703,78.842,35.972
4,3,5,4,17,1,2,1,0,O,1,27703,78.837,35.985
3,4,4,4,50,9,4,0,0,B,1,27707,78.901,35.983
2,4,4,5,11,0,1,0,1,W,9,27713,78.929,35.938
4,5,3,1,42,1,4,0,0,B,2,27704,78.809,36.038
4,4,2,4,27,0,5,0,0,W,1,27713,78.94,35.933
3,4,3,3,20,1,3,0,1,B,2,27704,78.818,36.014
5,4,3,4,20,9,5,0,0,W,1,27712,78.891,36.087
4,5,3,4,17,0,4,1,1,O,3,27712,78.852,36.129
4,3,2,3,14,1,2,1,0,O,3,27712,78.916,36.08
4,4,4,5,40,0,4,0,1,B,9,27703,,
3,9,4,4,6,0,2,1,1,W,4,27703,78.755,35.932
4,1,1,4,16,0,1,0,0,B,3,27704,78.898,36.044
4,4,4,9,65,0,5,0,1,O,2,27707,78.93,35.963
4,2,4,4,51,0,4,0,1,W,4,27707,78.965,35.948
3,4,3,5,17,0,5,0,1,W,2,27707,78.934,35.951
5,3,4,3,15,0,3,1,1,W,4,27705,78.949,36.053
4,3,4,4,16,0,5,0,1,W,9,27705,78.965,36.036
4,3,4,5,21,9,3,0,0,O,2,27705,78.926,36.031
5,2,3,5,52,0,4,1,1,W,4,27705,78.951,35.979
4,3,4,4,52,0,3,0,0,B,3,27704,78.899,36.065
3,3,2,4,35,0,3,0,1,W,4,27712,78.916,36.095
4,3,1,9,10,0,1,0,1,W,3,27703,78.865,35.985
1,9,2,4,32,1,4,1,1,B,1,27707,78.921,35.968
5,3,2,4,5,0,1,1,1,W,4,27713,78.92,35.887
3,3,4,4,32,0,4,0,1,W,3,27707,78.964,35.943
3,4,2,3,51,0,3,1,1,W,4,27713,78.928,35.887
5,4,2,4,13,0,3,0,1,W,4,27705,78.988,35.98
3,3,2,4,41,1,2,1,0,W,9,27705,78.927,36.039
4,4,3,4,20,0,4,1,1,B,4,27705,78.993,35.972
4,3,4,5,64,9,4,0,1,B,4,27704,78.888,36.053
3,4,2,4,10,9,5,1,1,W,1,27703,78.823,35.993
3,4,4,5,27,1,3,0,1,B,1,27705,78.931,36.049
5,5,4,5,20,1,1,0,1,B,4,27705,78.965,36.015
3,5,2,5,30,0,3,1,1,W,2,27703,78.839,35.965
3,2,3,4,55,1,5,0,1,W,4,27705,78.928,36.049
4,9,9,9,12,0,2,1,0,O,3,27705,78.928,36.02
3,4,2,3,42,1,2,1,0,W,2,27705,,
4,4,3,4,12,0,3,1,1,W,3,27705,78.978,36.045
1,3,2,4,30,0,3,0,1,B,3,27704,78.837,36.053
3,3,4,4,10,1,5,0,0,W,1,27707,79.001,35.945
2,5,5,5,54,9,3,0,1,W,9,27704,78.801,36.029
5,4,2,5,42,1,3,0,1,W,2,27701,,
3,4,3,3,55,9,4,0,1,W,2,27704,78.861,36.016
4,4,1,4,30,0,5,0,0,B,2,27705,78.977,36.038
4,9,3,5,35,0,5,1,1,B,3,27703,78.83,35.993
4,3,4,3,4,1,2,0,1,W,9,27703,78.817,35.925
4,4,3,3,43,1,4,0,1,B,1,27703,78.809,35.991
4,4,4,1,58,0,4,0,1,W,3,27705,78.941,35.976
4,4,3,4,1,1,1,1,1,W,9,27701,78.916,35.994
4,3,3,3,1,1,2,1,0,W,9,27701,78.901,36.006
4,3,1,3,5,0,1,1,1,W,2,27705,78.935,36.041
3,4,3,5,72,0,5,1,1,W,1,27705,78.928,36.032
3,3,3,3,1,0,1,0,0,O,1,27703,78.849,35.996
4,9,4,4,8,0,2,0,1,B,9,27713,78.932,35.942
4,3,1,9,13,0,1,0,1,W,4,27713,78.929,35.945
4,3,4,4,2,9,1,0,0,B,3,27701,78.894,36.001
4,4,2,4,0,0,1,0,0,W,1,27701,78.902,36.018
3,5,4,4,20,0,5,1,1,B,2,27703,78.76,35.947
5,3,4,4,4,0,1,0,1,W,9,27703,78.789,35.968
5,3,2,4,8,0,1,1,1,B,4,27701,78.889,35.995
3,3,3,3,5,1,1,0,0,O,1,27713,78.893,35.953
3,4,2,4,56,0,4,0,0,W,3,27503,78.881,36.159
4,5,4,3,14,1,3,1,0,B,1,27705,78.913,36.029
4,3,2,5,31,0,1,0,1,W,4,27712,78.959,36.046
4,2,3,4,59,9,4,1,1,W,2,27707,78.922,35.985
